[LOG] SoundI::release                          :     Card Cancel_4 (0000000056B65EB8)
[LOG] SoundI::release                          :  (0000000042B10368)
[LOG] SoundI::release                          :     Card Cancel_5 (0000000056B66BB8)
[LOG] SoundI::release                          :  (0000000056B8ECE8)
[LOG] SoundI::release                          :     Temp Action Button Up (0000000056B7DAB8)
[LOG] SoundI::release                          :  (00000000426610B8)
[LOG] SoundI::release                          :     Thump (0000000056B68278)
[LOG] SoundI::release                          :  (0000000056B8DE88)
[LOG] SoundI::release                          :     Whoosh (0000000056B7D438)
[LOG] SoundI::release                          :  (0000000056B8EA08)
[LOG] SoundI::release                          :     Stabby Gore 01 (0000000056B7DF98)
[LOG] SoundI::release                          :  (00000000429DB798)
[LOG] SoundI::release                          :     Stabby Gore 02 (0000000056B66058)
[LOG] SoundI::release                          :  (000000004D22A538)
[LOG] SoundI::release                          :     Stabby Gore 03 (0000000056B685B8)
[LOG] SoundI::release                          :  (0000000042662C08)
[LOG] SoundI::release                          :     Stabby Gore 04 (0000000056B67718)
[LOG] SoundI::release                          :  (0000000042B104D8)
[LOG] SoundI::release                          :     Thumpy Stab (0000000056B69798)
[LOG] SoundI::release                          :  (00000000426627B8)
[LOG] SoundI::release                          :     Sandy Shoop (0000000056B69118)
[LOG] SoundI::release                          :  (0000000042B111C8)
[LOG] SoundI::release                          :     Sword Shing (0000000056B78FF8)
[LOG] Thread::callback                         : FMOD Studio update thread finished.
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] Profile::disconnectAll                   : Profiler disconnecting all clients
[LOG] SystemI::close                           : Closed.
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] Thread::callback                         : FMOD nonblocking thread (0) finished.
[LOG] Thread::callback                         : FMOD file thread finished.
[LOG] SystemI::close                           : Closed.
